,gem,comune,degurba,GEMI,GEMD,mean_fam_r_disp,median_fam_r_disp,count_fam_r_disp,year
77,079,San Genesio Atesino/Jenesien,3,San Genesio Atesino,Jenesien,45725.68237640937,35099.11,1153,2019
78,080,San Leonardo in Passiria/St. Leonhard in Passeier,3,San Leonardo in Passiria,St. Leonhard in Passeier,36884.35394117647,29362.5,1360,2019
79,081,San Lorenzo di Sebato/St. Lorenzen,3,San Lorenzo di Sebato,St. Lorenzen,46145.779469798654,36472.259999999995,1490,2019
80,082,San Martino in Badia/St. Martin in Thurn,3,San Martino in Badia,St. Martin in Thurn,44395.69588419406,34468.0,639,2019
81,083,San Martino in Passiria/St. Martin in Passeier,3,San Martino in Passiria,St. Martin in Passeier,35677.86499193549,28254.489999999998,1240,2019
82,084,San Pancrazio/St. Pankraz,3,San Pancrazio,St. Pankraz,38170.6538869863,31595.0,584,2019
83,085,Santa Cristina Valgardena/St. Christina in Gröden,3,Santa Cristina Valgardena,St. Christina in Gröden,46933.80624365482,35965.0,788,2019
84,086,Sarentino/Sarntal,3,Sarentino,Sarntal,38851.2462956335,31144.879999999997,2794,2019
85,087,Scena/Schenna,3,Scena,Schenna,45279.142846648305,33363.0,1089,2019
86,088,Selva dei Molini/Mühlwald,3,Selva dei Molini,Mühlwald,40696.88190926276,32411.0,529,2019
87,089,Selva di Val Gardena/Wolkenstein in Gröden,3,Selva di Val Gardena,Wolkenstein in Gröden,61791.28106230847,38914.0,979,2019
88,091,Senales/Schnals,3,Senales,Schnals,40201.19286902287,30228.99,481,2019
89,092,Sesto/Sexten,3,Sesto,Sexten,44582.233918741804,32408.91,763,2019
90,093,Silandro/Schlanders,2,Silandro,Schlanders,40826.083464823096,30554.0,2459,2019
91,094,Sluderno/Schluderns,3,Sluderno,Schluderns,31630.798569463546,26066.0,727,2019
92,095,Stelvio/Stilfs,3,Stelvio,Stilfs,39110.34164241164,27433.0,481,2019
93,096,Terento/Terenten,3,Terento,Terenten,44747.090484114975,37404.0,661,2019
94,097,Terlano/Terlan,3,Terlano,Terlan,46521.28049835706,35003.5,1826,2019
95,098,Termeno sulla strada del vino/Tramin an der Weinstraße,3,Termeno sulla strada del vino,Tramin an der Weinstraße,39649.04468637347,29446.78,1387,2019
96,099,Tesimo/Tisens,3,Tesimo,Tisens,36986.257117794485,28733.0,798,2019
97,100,Tires/Tiers,3,Tires,Tiers,44972.36882793017,34593.0,401,2019
98,101,Tirolo/Tirol,3,Tirolo,Tirol,47317.85326592518,33460.0,989,2019
99,102,Trodena nel parco naturale/Truden im Naturpark,3,Trodena nel parco naturale,Truden im Naturpark,38920.46648960739,30746.86,433,2019
100,103,Tubre/Taufers im Münstertal,3,Tubre,Taufers im Münstertal,24202.566136363635,19868.485,352,2019
101,104,Ultimo/Ulten,3,Ultimo,Ulten,39044.88787934187,30970.655,1094,2019
102,105,Vadena/Pfatten,3,Vadena,Pfatten,37873.51412048192,32861.0,415,2019
103,106,Valdaora/Olang,3,Valdaora,Olang,46546.33535108959,37099.0,1239,2019
104,107,Val di Vizze/Pfitsch,3,Val di Vizze,Pfitsch,42033.85803030303,33471.22,1188,2019
105,108,Valle Aurina/Ahrntal,3,Valle Aurina,Ahrntal,41926.17344291426,33416.0,2251,2019
106,109,Valle di Casies/Gsies,3,Valle di Casies,Gsies,43112.051593830336,36288.0,778,2019
107,110,Vandoies/Vintl,3,Vandoies,Vintl,41635.90615689382,34672.7,1262,2019
108,111,Varna/Vahrn,3,Varna,Vahrn,45463.6078952935,34163.0,1891,2019
109,112,Verano/Vöran,3,Verano,Vöran,43215.784561933535,34618.0,331,2019
110,113,Villabassa/Niederdorf,3,Villabassa,Niederdorf,39000.27614035088,32705.0,627,2019
111,114,Villandro/Villanders,3,Villandro,Villanders,41942.2115406562,34832.88,701,2019
112,115,Vipiteno/Sterzing,2,Vipiteno,Sterzing,40129.17319198664,30349.0,2995,2019
113,116,Velturno/Feldthurns,3,Velturno,Feldthurns,44065.88696461825,36057.545,1074,2019
114,117,La Valle/Wengen,3,La Valle,Wengen,48456.53849576272,40379.5,472,2019
115,118,Senale-San Felice/Unsere Liebe Frau im Walde-St. Felix,3,Senale-San Felice,Unsere Liebe Frau im Walde-St. Felix,33410.329594594594,25882.34,296,2019
117,001,Aldino/Aldein,3,Aldino,Aldein,40142.411248000004,31168.0,625,2020
118,002,Andriano/Andrian,3,Andriano,Andrian,40827.20589622642,31395.68,424,2020
119,003,Anterivo/Altrei,3,Anterivo,Altrei,31395.044519774012,26653.54,177,2020
120,004,Appiano sulla strada del vino/Eppan an der Weinstraße,2,Appiano sulla strada del vino,Eppan an der Weinstraße,46972.10611002921,32305.405,6162,2020
121,005,Avelengo/Hafling,3,Avelengo,Hafling,44889.427156862745,33600.14,306,2020
122,006,Badia/Abtei,3,Badia,Abtei,48298.44492236025,34343.0,1288,2020
123,007,Barbiano/Barbian,3,Barbiano,Barbian,38718.14085755814,29751.89,688,2020
124,008,Bolzano/Bozen,1,Bolzano,Bozen,39959.09511774805,28865.19,47177,2020
125,009,Braies/Prags,3,Braies,Prags,47349.044471544716,35742.5,246,2020
126,010,Brennero/Brenner,3,Brennero,Brenner,35947.91001027749,27675.0,973,2020
127,011,Bressanone/Brixen,2,Bressanone,Brixen,44330.66279309236,31827.0,9323,2020
128,012,Bronzolo/Branzoll,2,Bronzolo,Branzoll,38265.2746397188,31720.425,1138,2020
129,013,Brunico/Bruneck,2,Brunico,Bruneck,45089.54209411117,31962.0,7268,2020
130,014,Caines/Kuens,2,Caines,Kuens,37889.9372368421,29392.73,152,2020
131,015,Caldaro sulla strada del vino/Kaltern an der Weinstraße,2,Caldaro sulla strada del vino,Kaltern an der Weinstraße,40753.47349497339,30130.5,3382,2020
132,016,Campo di Trens/Freienfeld,3,Campo di Trens,Freienfeld,38581.94921641791,32773.325,1072,2020
133,017,Campo Tures/Sand in Taufers,3,Campo Tures,Sand in Taufers,40426.45377245509,30903.5,2338,2020
134,018,Castelbello-Ciardes/Kastelbell-Tschars,3,Castelbello-Ciardes,Kastelbell-Tschars,36199.1740552017,26942.0,942,2020
